v_id,lon,lat,typ,voltage,degree_centrality,pagerank,betweenness,combined_centrality,criticality_label,voltage_V_node,combined_centrality_score_load,combined_centrality_score_gen,load_MW,generation_MW,load_pu,generation_pu,P_injection_pu,theta_pu
145,6.84699931064759,51.2055917698058,substation,220000.0,0.002092050209205,0.0012397351189117,0.0,0.0002848788202651,Low,220000.0,0.0034415065355572053,0.014742930226320335,3.511142278835789,0.0,0.03511142278835789,0.0,-0.03511142278835789,0.006986435522688815
146,7.19316578267403,50.798335064694,substation,220000.0,0.00836820083682,0.0012357024195652,1.7543397980754893e-05,0.0009032478147459,Severe,220000.0,0.06666772077178292,0.0142126089951497,68.0166812461179,0.0,0.6801668124611789,0.0,-0.6801668124611789,-0.0032308929746226642
147,7.0473845241055,50.9055286094924,substation,220000.0,0.006276150627615,0.0025310806227948,1.3157548485566167e-05,0.000785563344707,High,220000.0,0.08630395931948392,0.18456167411069302,88.05024115652361,0.0,0.8805024115652361,0.0,-0.8805024115652361,-0.007149581602266275
148,6.70967369516713,51.0909407427733,substation,220000.0,0.006276150627615,0.0016746176515739,1.7543397980754893e-05,0.0007315073149475,High,220000.0,0.0629751358501312,0.07193227669624457,64.2493802392338,0.0,0.642493802392338,0.0,-0.642493802392338,-0.010871725189402147
149,7.01293742640329,50.6176584938251,substation,220000.0,0.002092050209205,0.0012357024195652,0.0,0.0002846070228471,Low,220000.0,0.0033177113364345674,0.0142126089951497,3.384842196861366,0.0,0.03384842196861366,0.0,-0.03384842196861366,0.014069889240315134
150,6.33006858948983,51.2429161503794,substation,380000.0,0.00418410041841,0.0013552414044345,4.385849495188723e-06,0.0004976546244478,Moderate,380000.0,0.027116388212014817,0.02993261591403795,0.0,7.813148462290977,0.0,0.07813148462290977,0.07813148462290977,-0.0128754960124014
151,7.0235444991641,50.999068409611,substation,220000.0,0.00418410041841,0.0012397351189117,1.7543397980754893e-05,0.0005008742581206,Moderate,220000.0,0.03245883832906768,0.014742930226320335,33.11561329365105,0.0,0.3311561329365105,0.0,-0.3311561329365105,-0.0005042858314854013
152,7.72438401522458,51.4093341305984,substation,220000.0,0.002092050209205,0.0012397351189117,0.0,0.0002848788202651,Low,220000.0,0.0034415065355572053,0.014742930226320335,3.511142278835789,0.0,0.03511142278835789,0.0,-0.03511142278835789,0.004668570907052998
153,6.84223115147656,50.8598647243573,substation,380000.0,0.002092050209205,0.0012357024195652,0.0,0.0002846070228471,Low,380000.0,0.0033177113364345674,0.0142126089951497,0.0,3.7098402770577175,0.0,0.037098402770577174,0.037098402770577174,0.014892936835845468
154,8.364229530696,51.9271204904611,substation,380000.0,0.006276150627615,0.001444066898036,5.70160434374534e-05,0.0007489822786721,High,380000.0,0.08256245761820077,0.0416136367585428,0.0,10.862182008551455,0.0,0.10862182008551455,0.10862182008551455,0.01515242830028707
155,6.48812326381716,50.8810703125704,substation,380000.0,0.002092050209205,0.0019074722574545,0.0,0.0003298832241462,Moderate,380000.0,0.02393960096930939,0.10255388536675711,0.0,26.769084735405983,0.0,0.26769084735405985,0.26769084735405985,0.01900254362032942
156,8.05408735442182,53.3323026933898,substation,380000.0,0.006276150627615,0.0011276260770807,0.0,0.0006799682060896,High,380000.0,0.03433267764183789,0.0,0.0,0.0,0.0,0.0,0.0,-0.03042863054142086
157,8.47791063608626,53.428485468955,substation,380000.0,0.00418410041841,0.0028093874792197,8.771698990377447e-06,0.0005993299097754,High,380000.0,0.07471829435263308,0.22116049342772948,0.0,57.728324651170595,0.0,0.5772832465117059,0.5772832465117059,-0.028733860962647913
158,8.05283751634017,53.3338809598955,substation,220000.0,0.0125523012552301,0.0056950124249117,0.0,0.0015917706947785,Severe,220000.0,0.22604063452325013,0.6006353916058604,230.61436042891393,0.0,2.3061436042891392,0.0,-2.3061436042891392,-0.030960592390835408
