l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,length_m,r,x,c,i_th_max
645.0,24.0,261.0,220000.0,3.0,1.0,50.0,63307.0,5.06456,20.25824,728.0305,82.2991
646.0,115.0,418.0,380000.0,3.0,4.0,50.0,20673.0,0.129206,5.16825,283.2201,214.9992
647.0,416.0,418.0,380000.0,3.0,4.0,50.0,3765.0,0.023531,0.94125,51.5805,39.156
648.0,417.0,418.0,380000.0,3.0,4.0,50.0,34211.0,0.213819,8.55275,468.6907,355.7944
649.0,419.0,421.0,220000.0,6.0,2.0,50.0,42194.0,0.84388,13.50208,485.231,219.4088
650.0,420.0,421.0,220000.0,6.0,2.0,50.0,694.0,0.01388,0.22208,7.981,3.6088
651.0,19.0,421.0,220000.0,6.0,2.0,50.0,71413.0,1.42826,22.85216,821.2495,371.3476
652.0,45.0,422.0,220000.0,3.0,2.0,50.0,38755.0,1.5502,12.4016,445.6825,100.763
653.0,44.0,422.0,220000.0,3.0,2.0,50.0,111.0,0.00444,0.03552,1.2765,0.2886
654.0,46.0,422.0,220000.0,3.0,2.0,50.0,9091.0,0.36364,2.90912,104.5465,23.6366
655.0,225.0,424.0,380000.0,3.0,4.0,50.0,67448.0,0.42155,16.862,924.0376,701.4592
656.0,189.0,424.0,380000.0,3.0,4.0,50.0,55454.0,0.346588,13.8635,759.7198,576.7216
657.0,423.0,424.0,380000.0,3.0,4.0,50.0,16231.0,0.101444,4.05775,222.3647,168.8024
658.0,277.0,426.0,220000.0,3.0,4.0,50.0,47453.0,0.94906,15.18496,545.7095,246.7556
659.0,425.0,426.0,220000.0,3.0,4.0,50.0,304.0,0.00608,0.09728,3.496,1.5808
660.0,50.0,426.0,220000.0,3.0,4.0,50.0,19936.0,0.39872,6.37952,229.264,103.6672
661.0,391.0,427.0,220000.0,6.0,1.0,50.0,12335.0,0.4934,3.9472,141.8525,32.071
662.0,26.0,427.0,220000.0,6.0,1.0,50.0,9587.0,0.38348,3.06784,110.2505,24.9262
663.0,23.0,427.0,220000.0,6.0,1.0,50.0,39330.0,1.5732,12.5856,452.295,102.258
664.0,203.0,428.0,220000.0,3.0,2.0,50.0,42126.0,1.3451920000000002,13.450816,483.3887,152.98868
665.0,91.0,428.0,220000.0,3.0,1.8,50.0,41204.0,1.8171199999999998,13.275136,477.07520000000005,119.05426
666.0,85.0,428.0,220000.0,3.0,1.8,50.0,35339.0,1.554588,11.140351999999998,400.3564,98.48670000000001
667.0,131.0,429.0,380000.0,3.0,4.0,50.0,28631.0,0.178944,7.15775,392.2447,297.7624
668.0,105.0,429.0,380000.0,3.0,4.0,50.0,8884.0,0.055525,2.221,121.7108,92.3936
669.0,108.0,429.0,380000.0,3.0,4.0,50.0,15771.0,0.098569,3.94275,216.0627,164.0184
670.0,109.0,430.0,380000.0,3.0,4.0,50.0,11486.0,0.071788,2.8715,157.3582,119.4544
671.0,128.0,430.0,380000.0,3.0,4.0,50.0,39210.0,0.245063,9.8025,537.177,407.784
672.0,103.0,430.0,380000.0,3.0,4.0,50.0,129.0,0.000806,0.03225,1.7673,1.3416
673.0,431.0,432.0,380000.0,3.0,4.0,50.0,455.0,0.002844,0.11375,6.2335,4.732
674.0,108.0,432.0,380000.0,3.0,4.0,50.0,16266.0,0.101662,4.0665,222.8442,169.1664
675.0,105.0,432.0,380000.0,3.0,4.0,50.0,8291.0,0.051819,2.07275,113.5867,86.2264
676.0,120.0,433.0,380000.0,3.0,4.0,50.0,376.0,0.00235,0.094,5.1512,3.9104
677.0,121.0,433.0,380000.0,3.0,4.0,50.0,35531.0,0.222069,8.88275,486.7747,369.5224
678.0,127.0,433.0,380000.0,3.0,4.0,50.0,226.0,0.001413,0.0565,3.0962,2.3504
679.0,434.0,435.0,380000.0,3.0,4.0,50.0,13640.0,0.08525,3.41,186.868,141.856
680.0,172.0,435.0,380000.0,3.0,4.0,50.0,16533.0,0.103331,4.13325,226.5021,171.9432
681.0,183.0,435.0,380000.0,3.0,4.0,50.0,23236.0,0.145225,5.809,318.3332,241.6544
