l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,length_m,r,x,c,i_th_max,V_base_kV_line,Z_base_ohms_line,x_pu,I_th_max_kA,P_th_max_MVA_line,P_th_max_pu_line
367.0,268,271,220000.0,3.0,2.4,50.0,51665.0,2.09308,15.980480000000004,574.2985000000001,193.37084,220.0,484.0,0.033017520661157033,0.19337084,73.68418630809987,0.7368418630809986
368.0,234,235,220000.0,3.0,1.8,50.0,964.0,0.042792,0.302208,10.8606,2.2924200000000003,220.0,484.0,0.000624396694214876,0.0022924200000000003,0.8735293407031501,0.008735293407031502
369.0,271,270,220000.0,3.0,2.0,50.0,67675.0,2.707,21.656,778.2625,175.955,220.0,484.0,0.04474380165289256,0.175955,67.047859966072,0.67047859966072
370.0,268,77,380000.0,3.0,3.6,50.0,103556.0,0.6760056,26.9457,1476.6243599999998,1172.42944,380.0,1444.0,0.01866045706371191,1.1724294400000002,771.6687961804201,7.716687961804201
371.0,268,270,380000.0,3.0,4.0,50.0,61545.0,0.2957869999999999,15.4626,847.3504799999998,1030.2656,380.0,1444.0,0.010708171745152355,1.0302656,678.0994985063647,6.780994985063647
372.0,77,270,380000.0,3.0,3.8,50.0,45898.0,0.3071805999999999,11.50835,630.6575799999999,454.44672,380.0,1444.0,0.007969771468144045,0.45444672,299.10742718175044,2.9910742718175043
373.0,272,273,380000.0,3.0,4.0,50.0,13388.0,0.083675,3.347,183.4156,139.2352,380.0,1444.0,0.0023178670360110803,0.1392352,91.64172742876536,0.9164172742876536
374.0,274,158,220000.0,3.0,1.0,50.0,55571.0,4.44568,17.78272,639.0665,72.2423,220.0,484.0,0.03674115702479339,0.0722423,27.52801349223928,0.2752801349223928
375.0,274,158,220000.0,3.0,1.0,50.0,55571.0,4.44568,17.78272,639.0665,72.2423,220.0,484.0,0.03674115702479339,0.0722423,27.52801349223928,0.2752801349223928
376.0,259,158,220000.0,3.0,2.0,50.0,57109.0,2.28436,18.27488,656.7535,148.4834,220.0,484.0,0.03775801652892562,0.1484834,56.57977443372597,0.5657977443372597
377.0,259,158,220000.0,3.0,2.0,50.0,57123.0,2.28492,18.27936,656.9145,148.5198,220.0,484.0,0.037767272727272726,0.1485198,56.59364469659299,0.5659364469659299
378.0,249,275,220000.0,3.0,2.0,50.0,32534.0,1.30136,10.41088,374.141,84.5884,220.0,484.0,0.0215100826446281,0.0845884,32.23250943681102,0.3223250943681102
379.0,249,275,220000.0,3.0,2.0,50.0,32535.0,1.3014,10.4112,374.1525,84.591,220.0,484.0,0.021510743801652892,0.084591,32.233500169872954,0.32233500169872953
380.0,90,91,220000.0,3.0,2.0,50.0,61576.0,2.46304,19.70432,708.124,160.0976,220.0,484.0,0.040711404958677685,0.1600976,61.0053790213646,0.6100537902136459
381.0,255,91,220000.0,3.0,4.0,50.0,18365.0,0.3673,5.8768,211.1975,95.498,220.0,484.0,0.012142148760330578,0.095498,36.38962536466678,0.3638962536466678
382.0,255,91,220000.0,3.0,4.0,50.0,18365.0,0.3673,5.8768,211.1975,95.498,220.0,484.0,0.012142148760330578,0.095498,36.38962536466678,0.3638962536466678
383.0,91,276,220000.0,3.0,1.6,50.0,10449.0,0.582744,3.343872,120.1704,21.81426,220.0,484.0,0.006908826446280992,0.021814260000000002,8.31234946289384,0.0831234946289384
384.0,60,277,220000.0,3.0,2.0,50.0,28872.0,1.15488,9.23904,332.028,75.0672,220.0,484.0,0.019088925619834708,0.0750672,28.60444496402557,0.2860444496402557
385.0,278,91,220000.0,3.0,1.0,50.0,13105.0,1.0484,4.1936,150.7075,17.0365,220.0,484.0,0.008664462809917355,0.0170365,6.491778388292379,0.06491778388292378
386.0,8,98,380000.0,3.0,4.0,50.0,87218.0,0.545112,21.8045,1194.8866,907.0672,380.0,1444.0,0.015100069252077563,0.9070672,597.0128609861113,5.970128609861113
387.0,8,97,380000.0,3.0,4.0,50.0,111167.0,0.694794,27.79175,1522.9879,1156.1368,380.0,1444.0,0.01924636426592798,1.1561368,760.9453176780371,7.609453176780371
388.0,79,279,380000.0,3.0,3.8,50.0,46125.0,0.3071805999999999,11.50835,630.6575799999999,454.44672,380.0,1444.0,0.007969771468144045,0.45444672,299.10742718175044,2.9910742718175043
389.0,79,279,380000.0,3.0,3.8,50.0,46116.0,0.3071805999999999,11.50835,630.6575799999999,454.44672,380.0,1444.0,0.007969771468144045,0.45444672,299.10742718175044,2.9910742718175043
390.0,280,281,220000.0,3.0,2.4,50.0,48682.0,2.216412,15.480256,556.3217,201.77274,220.0,484.0,0.031984,0.20177274,76.88574019772472,0.7688574019772472
391.0,267,282,220000.0,3.0,1.0,50.0,26902.0,2.15216,8.60864,309.373,34.9726,220.0,484.0,0.017786446280991734,0.0349726,13.326350416012328,0.13326350416012328
392.0,267,282,220000.0,3.0,1.0,50.0,26897.0,2.15176,8.60704,309.3155,34.9661,220.0,484.0,0.017783140495867766,0.0349661,13.323873583357505,0.13323873583357504
393.0,37,73,380000.0,3.0,3.0,50.0,207919.0,1.732658,51.97975,2848.4903,1621.7682,380.0,1444.0,0.035997056786703605,1.6217682,1067.4142697898192,10.674142697898192
394.0,37,73,380000.0,3.0,3.0,50.0,207971.0,1.733092,51.99275,2849.2027,1622.1738,380.0,1444.0,0.03600605955678671,1.6221738,1067.6812273166884,10.676812273166883
